name,Class
บจ.ทรัพย์เกื้อหนุน จำกัด,firm
บจ.เกษตรออนไลน์ จำกัด,firm
หจ.ที เอ ที ดีไซน์ แอนด์ คอนสตรัคชั่น,firm
บจ.ณ นครโพธิ์ศรี จำกัด,firm
บจ.เพนกวิน วูด จำกัด,firm
หจ.เอสดี-37,firm
หจ.กิตติ 1977 กิจรุ่งเรือง,firm
บจ.ทรินิตี้ โฮเทล แอนด์ รีสอร์ต จำกัด,firm
บจ.ท.ทรัพย์ทวี อะไหล่ยนต์ จำกัด,firm
บจ.ธวรา ครีเอทีฟ เฮ้าส์ จำกัด,firm
หจ.วิสาหกิจชุมชนนาแปลงใหญ่บ้านม่วงน้ำ,firm
หจ.เชิญ เทรดดิ้ง,firm
บจ.ชาไบโอแมส จำกัด,firm
บจ.เจเอสแอล โกลบอล ซัพพลาย จำกัด,firm
หจ.อัครพล โลจิสติกส์2021,firm
บจ.มาบตากล้าการเกษตร จำกัด,firm
บจ.วัชระทรัพย์โลหะกิจ จำกัด,firm
หจ.ขจร กรุ๊ป,firm
บจ.ทาปิโอกาพลัส จำกัด,firm
บจ.วีเอ็น แอคเค้าติ้ง แอนด์ แท็กซ์ จำกัด,firm
บจ.แตงโมพาณิชย์ จำกัด,firm
บจ.ฟาสท์ อะโกร จำกัด,firm
บจ.แฮปปี้ ฮ็อปส์ จำกัด,firm
หจ.กวาง-แบ้งค์ ค้าทุเรียน,firm
หจ.คลีน ฟู้ดส์ คิทเช่น ศาลายา,firm
บจ.เดินหน้า ทรานสปอร์ต จำกัด,firm
หจ.ประสิทธิ์พร,firm
หจ.เคพีพี การโยธา,firm
หจ.คลองหวาย พีเอแอล,firm
บจ.เจ อาร์ อินเตอร์เทรด จำกัด,firm
หจ.เพชรบูรณ์การประเมิน,firm
บจ.ทรัพย์รุ่งเจริญ11 จำกัด,firm
บจ.เบสท์เฟรนด์โปรเจคท์ จำกัด,firm
บจ.โคราช เฮย์ จำกัด,firm
หจ.ทีเอ็มออนไลน์,firm
บจ.โกลเด้น โกลบ คอนสตรัคชั่น จำกัด,firm
บจ.อีวายเอฟ มาร์เก็ต จำกัด,firm
บจ.สเตเบิ้ลมายด์ จำกัด,firm
หจ.วิสาหกิจชุมชน นาแปลงใหญ่ สระสมิง,firm
บจ.พัฒนธนาวัสดุภัณฑ์ จำกัด,firm
บจ.ฐิตะฐาน (กรุ๊ป) ทรานสปอร์ต จำกัด,firm
บจ.เควี เอนจิเนียริ่ง เซลล์ แอนด์ เซอร์วิส จำกัด,firm
หจ.กำไรขนส่ง,firm
บจ.เบบี้ไทม์ จำกัด,firm
บจ.เค.คอนแทคท์ คอนสตรัคชั่น จำกัด,firm
บจ.เย็นสบาย มาร์เก็ตติ้ง จำกัด,firm
หจ.แปลงใหญ่ยางพาราหนองแดงพัฒนา ต.ปะเคียบ,firm
บจ.รุ่งเรืองสิริพ์ จำกัด,firm
บจ.เซียงไฮ้ แอนด์ เจ้าหญิง จำกัด,firm
บจ.จินดาชน จำกัด,firm
บจ.ลาวา ฟิตเนส แอนด์ เฮลท์ จำกัด,firm
บจ.พีเจบี.เอส จำกัด,firm
หจ.จอมทรัพย์ฟาร์ม186,firm
บจ.พชรพล  พลาสแพค จำกัด,firm
หจ.แสงสยามธุรกิจ,firm
หจ.ธาราทิพย์ 99,firm
บจ.กรีนมู๊ด เนอสเซอรี่ (ไทยแลนด์) จำกัด,firm
บจ.วีบาย โกลบอล เทรด จำกัด,firm
หจ.โท้ เพชร คอนสตรัคชั่น,firm
บจ.เอนริช แล็บบอราทอรี่ จำกัด,firm
บจ.ล้อมรัชฐา หนึ่งทับหนึ่ง จำกัด,firm
บจ.เอพีเอ็ม ทาวเวอส์(ไทยแลนด์) จำกัด,firm
บจ.สุธารัตน์เนิร์สซิ่งเซอร์วิส จำกัด,firm
บจ.วีบีเอส ซัคเซสฟูลลี่ จำกัด,firm
หจ.25 เซ็น,firm
หจ.โอเชียนเนีย แมเนจเม้นท์,firm
หจ.ฟินิกซ์ แอซเท็ก,firm
บจ.แปลงใหญ่เงาะยางหัก จำกัด,firm
บจ.สินจุติ จำกัด,firm
หจ.รุ่งชัย โลจีสติกส์,firm
บจ.เอ็ม.อี. อินเตอร์ เทรด คอร์ปอเรชั่น จำกัด,firm
หจ.วิชั่นไทย เทรดดิ้ง,firm
บจ.ราชสีห์ โฮม ดีไซน์ จำกัด,firm
บจ.เดอะ ซุปเปอร์ คลาวด์ เน็ตเวิร์ค จำกัด,firm
บจ.เฟลอร์ เม็ดเว็ท จำกัด,firm
บจ.ริต้า คอร์ปอเรชั่น จำกัด,firm
บจ.ซีเอ็ม แฮร์แคร์ จำกัด,firm
บจ.ป๊อปอัพ เอ็นจิเนียริ่ง จำกัด,firm
บจ.ไนน์ เมดิแคร์ จำกัด,firm
บจ.วราลีย์ 789 ทัวร์ จำกัด,firm
บจ.โลเคชั่น บาย เจเอ จำกัด,firm
บจ.จีวาย คอนซัลแตนท์ แอนด์ เซอร์วิส จำกัด,firm
บจ.เมตา พีเพิล จำกัด,firm
บจ.แอลพีเอ็น ไรซ์พลัส จำกัด,firm
